stem,frequency,category,confidence,meaning_en,in_canonical_lexicon,example_words
otal,0,equipment,CONFIRMED,pot/jar,True,
ov,0,ingredient,MISCELLANY,egg,True,
ova,0,general,CONFIRMED,Egg / yolk,True,
oči,0,Frequent in eye recipes,CONFIRMED,oculi,True,
papav,0,ingredient,MISCELLANY,poppy,True,
perla,0,general,CONFIRMED,Pearl (ground),True,
phar,0,equipment,CANDIDATE,flask/phial,True,
pij,0,Standard recipe verb,CONFIRMED,bibe,True,
pip,0,spice,CONFIRMED,pepper,True,
piper,0,ingredient,CONFIRMED,pepper,True,
plant,0,ingredient,CONFIRMED,plantain,True,
podag,0,condition,MISCELLANY,gout,True,
pon,0,action,MISCELLANY,place/put,True,
pulm,0,body_part,MISCELLANY,lung,True,
pulv,0,ingredient,MISCELLANY,powder,True,
qokal,0,liquid,CONFIRMED,qo-kal-∅,True,
qokaldy,0,general,CONFIRMED,qo + kal + dy,True,
qokar,0,liquid,CONFIRMED,qo-kar-∅,True,
rady,0,ingredient,CONFIRMED,root/prepared,True,
rane,0,Wound treatment texts,CONFIRMED,vulnera,True,
recip,0,action,MISCELLANY,take (imperative),True,
ren,0,body_part,MISCELLANY,kidney,True,
resin,0,ingredient,MISCELLANY,resin,True,
rosar,0,ingredient,CONFIRMED,rose/rosewater,True,
rosol,0,liquid,CONFIRMED,Rose-oil,True,
rut,0,herb,CONFIRMED,rue,True,
ruta,0,ingredient,CONFIRMED,rue,True,
sacchar,0,ingredient,MISCELLANY,sugar,True,
salv,0,ingredient,CONFIRMED,sage,True,
sambuc,0,ingredient,MISCELLANY,elder,True,
satri,0,Standard recipe verb,CONFIRMED,tere,True,
sem,0,ingredient,MISCELLANY,seed,True,
shedy,0,general,CONFIRMED,sh + ed + y,True,
sjeme,0,plant_part,CONFIRMED,seed,True,
sljez,0,High,CONFIRMED,Althaea officinalis,True,
smreka,0,resin from conifer; "smažer od smreki" = resin of juniper,CONFIRMED,Picea albis / Juniperus,True,
splen,0,body_part,MISCELLANY,spleen,True,
src,0,body,CONFIRMED,heart,True,
stavi,0,"zvanu stavi" (apply outside),CONFIRMED,appone,True,
sterc,0,ingredient,MISCELLANY,dung/feces,True,
