stem,frequency,category,confidence,meaning_en,in_canonical_lexicon,example_words
ocsth,78,UNLISTED,UNCLASSIFIED,?,False,
lst,77,UNLISTED,UNCLASSIFIED,?,False,
tre,76,UNLISTED,UNCLASSIFIED,?,False,
daiin,73,general,CANDIDATE,Add (extended),True,daiin(16);kodaiin(2);hedaiin(2)
osta,71,UNLISTED,UNCLASSIFIED,?,False,
steh,69,UNLISTED,UNCLASSIFIED,?,False,
prh,68,UNLISTED,UNCLASSIFIED,?,False,
steor,64,UNLISTED,UNCLASSIFIED,?,False,
sto,63,UNLISTED,UNCLASSIFIED,?,False,
osto,61,UNLISTED,UNCLASSIFIED,?,False,
lh,61,UNLISTED,UNCLASSIFIED,?,False,
ros,60,ingredient,CONFIRMED,rose/rosewater,True,otros(4);tros(4);otrosti(3)
do,60,UNLISTED,UNCLASSIFIED,?,False,
octrh,60,UNLISTED,UNCLASSIFIED,?,False,
trš,60,UNLISTED,UNCLASSIFIED,?,False,
ro,60,UNLISTED,UNCLASSIFIED,?,False,
isth,59,UNLISTED,UNCLASSIFIED,?,False,
treo,58,UNLISTED,UNCLASSIFIED,?,False,
tra,56,UNLISTED,UNCLASSIFIED,?,False,
opl,56,UNLISTED,UNCLASSIFIED,?,False,
itrh,55,UNLISTED,UNCLASSIFIED,?,False,
tro,55,UNLISTED,UNCLASSIFIED,?,False,
alst,53,UNLISTED,UNCLASSIFIED,?,False,
osted,52,UNLISTED,UNCLASSIFIED,?,False,
red,51,UNLISTED,UNCLASSIFIED,?,False,
oh,51,UNLISTED,UNCLASSIFIED,?,False,
ral,50,UNLISTED,UNCLASSIFIED,?,False,
iste,49,UNLISTED,UNCLASSIFIED,?,False,
iš,49,UNLISTED,UNCLASSIFIED,?,False,
olš,48,UNLISTED,UNCLASSIFIED,?,False,
rš,48,UNLISTED,UNCLASSIFIED,?,False,
tred,48,UNLISTED,UNCLASSIFIED,?,False,
ctrhor,47,UNLISTED,UNCLASSIFIED,?,False,
rar,47,UNLISTED,UNCLASSIFIED,?,False,
ostor,46,UNLISTED,UNCLASSIFIED,?,False,
oral,45,latin_pharma,CONFIRMED,by mouth,True,oral(13);soral(4);ploral(2)
olste,44,UNLISTED,UNCLASSIFIED,?,False,
isteo,43,UNLISTED,UNCLASSIFIED,?,False,
osteor,42,UNLISTED,UNCLASSIFIED,?,False,
olor,42,UNLISTED,UNCLASSIFIED,?,False,
ai,41,UNLISTED,UNCLASSIFIED,?,False,
iheo,40,UNLISTED,UNCLASSIFIED,?,False,
ctrho,40,UNLISTED,UNCLASSIFIED,?,False,
trho,39,UNLISTED,UNCLASSIFIED,?,False,
trhor,37,UNLISTED,UNCLASSIFIED,?,False,
dan,36,grammar,CONFIRMED,day,True,dan(15);tredan(2);odan(2)
kor,36,herb,CONFIRMED,coriander,True,kor(26);korain(5);korhedi(1)
id,36,UNLISTED,UNCLASSIFIED,?,False,
sthor,36,UNLISTED,UNCLASSIFIED,?,False,
steod,36,UNLISTED,UNCLASSIFIED,?,False,
os,36,UNLISTED,UNCLASSIFIED,?,False,
iplh,35,UNLISTED,UNCLASSIFIED,?,False,
stl,34,UNLISTED,UNCLASSIFIED,?,False,
plhed,34,UNLISTED,UNCLASSIFIED,?,False,
est,34,UNLISTED,UNCLASSIFIED,?,False,
ko,32,UNLISTED,UNCLASSIFIED,?,False,
ostš,32,UNLISTED,UNCLASSIFIED,?,False,
pr,32,UNLISTED,UNCLASSIFIED,?,False,
eo,32,UNLISTED,UNCLASSIFIED,?,False,
ihe,31,UNLISTED,UNCLASSIFIED,?,False,
reod,31,UNLISTED,UNCLASSIFIED,?,False,
osteh,31,UNLISTED,UNCLASSIFIED,?,False,
stho,31,UNLISTED,UNCLASSIFIED,?,False,
cprh,29,UNLISTED,UNCLASSIFIED,?,False,
dl,28,UNLISTED,UNCLASSIFIED,?,False,
rol,28,UNLISTED,UNCLASSIFIED,?,False,
otrh,28,UNLISTED,UNCLASSIFIED,?,False,
plor,28,UNLISTED,UNCLASSIFIED,?,False,
itreo,27,UNLISTED,UNCLASSIFIED,?,False,
plheo,27,UNLISTED,UNCLASSIFIED,?,False,
oprh,26,UNLISTED,UNCLASSIFIED,?,False,
dhor,25,UNLISTED,UNCLASSIFIED,?,False,
old,25,UNLISTED,UNCLASSIFIED,?,False,
olo,25,UNLISTED,UNCLASSIFIED,?,False,
sam,24,grammar,CONFIRMED,self/alone,True,sam(10);aisam(1);hsamosti(1)
ara,24,UNLISTED,UNCLASSIFIED,?,False,
stheo,24,UNLISTED,UNCLASSIFIED,?,False,
cstho,24,UNLISTED,UNCLASSIFIED,?,False,
lš,24,UNLISTED,UNCLASSIFIED,?,False,
trod,23,UNLISTED,UNCLASSIFIED,?,False,
trheo,23,UNLISTED,UNCLASSIFIED,?,False,
airal,22,preparation,CANDIDATE,vapor vessel/alembic,True,dairal(6);airal(3);sairal(3)
reor,22,UNLISTED,UNCLASSIFIED,?,False,
an,22,UNLISTED,UNCLASSIFIED,?,False,
csthh,22,UNLISTED,UNCLASSIFIED,?,False,
ii,22,UNLISTED,UNCLASSIFIED,?,False,
rho,22,UNLISTED,UNCLASSIFIED,?,False,
oe,22,UNLISTED,UNCLASSIFIED,?,False,
osteod,22,UNLISTED,UNCLASSIFIED,?,False,
stai,22,UNLISTED,UNCLASSIFIED,?,False,
plhe,21,UNLISTED,UNCLASSIFIED,?,False,
oš,21,UNLISTED,UNCLASSIFIED,?,False,
oltr,21,UNLISTED,UNCLASSIFIED,?,False,
thar,20,liquid,CANDIDATE,Boil (variant),True,osthar(6);csthar(4);hocsthar(2)
