comparison,JSD_sqrt,Baseline_BE,Voynich_BE,tokens_baseline
Voynich vs Ragusa (legal+devotional),0.7018530540043101,0.830116817174124,4.359610611285584,218
Voynich vs Venice (notarial+recipe),0.7242999748872124,0.7284149293016373,4.359610611285584,215
