
prefix,count,frequency
qo,500,0.094948727687049
da,346,0.0657045195594379
ok,334,0.06342575009494873
ot,308,0.05848841625522218
sh,203,0.03854918344094189
so,200,0.0379794910748196
yc,193,0.036650208887200914
sa,189,0.03589061906570452
ch,183,0.03475123433345993
yk,157,0.029813900493733385
dc,151,0.028674515761488797
pc,149,0.0282947208507406
po,143,0.027155336118496014
yt,137,0.026015951386251426
ol,137,0.026015951386251426
to,135,0.025636156475503227
tc,115,0.021838207368021268
ds,101,0.019179642992783897
do,85,0.016141283706798328
ys,84,0.01595138625142423
or,69,0.013102924420812762
{f,64,0.012153437143942271
ts,57,0.010824154956323585
oc,57,0.010824154956323585
ta,47,0.008925180402582606
oe,45,0.008545385491834409
ko,38,0.0072161033042157235
od,37,0.007026205848841625
te,36,0.006836308393467528
os,35,0.0066464109380934295
