slice,JSD_vs_Ragusa,JSD_vs_Venice,tokens
1,0.6995863512354024,0.7282170596352506,56629
2,0.7034081742452337,0.7358124314765689,56629
3,0.6882875800077743,0.7080411519922335,56630
4,0.6953086556993443,0.7124507930662533,56629
5,0.7521620907906307,0.7649024480047425,56630
