
prefix,count,frequency
o,1161,0.22022003034901366
d,727,0.13789833080424888
y,690,0.13088012139605462
s,672,0.1274658573596358
q,519,0.09844461305007587
t,399,0.07568285280728376
p,385,0.07302731411229135
c,212,0.04021244309559939
{,160,0.030349013657056147
k,117,0.022192716236722306
l,81,0.015364188163884674
f,41,0.007776934749620637
r,36,0.006828528072837633
a,26,0.004931714719271623
e,21,0.003983308042488619
g,5,0.0009484066767830046
j,5,0.0009484066767830046
x,4,0.0007587253414264037
-,2,0.00037936267071320183
&,2,0.00037936267071320183
%,2,0.00037936267071320183
h,1,0.00018968133535660092
¤,1,0.00018968133535660092
À,1,0.00018968133535660092
v,1,0.00018968133535660092
=,1,0.00018968133535660092
