source,prefix_1,count
Harley_MS_2378_Middle_English_recipes_excerpt,a,29
Harley_MS_2378_Middle_English_recipes_excerpt,t,25
Harley_MS_2378_Middle_English_recipes_excerpt,b,14
Harley_MS_2378_Middle_English_recipes_excerpt,o,13
Harley_MS_2378_Middle_English_recipes_excerpt,f,12
Harley_MS_2378_Middle_English_recipes_excerpt,m,10
Harley_MS_2378_Middle_English_recipes_excerpt,i,10
Harley_MS_2378_Middle_English_recipes_excerpt,w,10
Harley_MS_2378_Middle_English_recipes_excerpt,s,8
Harley_MS_2378_Middle_English_recipes_excerpt,h,7
Harley_MS_2378_Middle_English_recipes_excerpt,g,5
Harley_MS_2378_Middle_English_recipes_excerpt,c,5
Harley_MS_2378_Middle_English_recipes_excerpt,l,3
Harley_MS_2378_Middle_English_recipes_excerpt,p,3
Harley_MS_2378_Middle_English_recipes_excerpt,d,3
Harley_MS_2378_Middle_English_recipes_excerpt,z,2
Harley_MS_2378_Middle_English_recipes_excerpt,r,2
Harley_MS_2378_Middle_English_recipes_excerpt,q,1
Harley_MS_2378_Middle_English_recipes_excerpt,e,1
Liber_de_Coquina_Latin_excerpt,c,25
Liber_de_Coquina_Latin_excerpt,a,19
Liber_de_Coquina_Latin_excerpt,e,18
Liber_de_Coquina_Latin_excerpt,i,16
Liber_de_Coquina_Latin_excerpt,p,15
Liber_de_Coquina_Latin_excerpt,b,12
Liber_de_Coquina_Latin_excerpt,f,11
Liber_de_Coquina_Latin_excerpt,d,10
Liber_de_Coquina_Latin_excerpt,s,9
Liber_de_Coquina_Latin_excerpt,u,7
Liber_de_Coquina_Latin_excerpt,q,6
Liber_de_Coquina_Latin_excerpt,t,5
Liber_de_Coquina_Latin_excerpt,h,3
Liber_de_Coquina_Latin_excerpt,o,3
Liber_de_Coquina_Latin_excerpt,l,2
Liber_de_Coquina_Latin_excerpt,g,1
Liber_de_Coquina_Latin_excerpt,m,1
Liber_de_Coquina_Latin_excerpt,n,1
Liber_de_Coquina_Latin_excerpt,r,1
Sacrobosco_De_Sphaera_Latin_excerpt,e,18
Sacrobosco_De_Sphaera_Latin_excerpt,s,17
Sacrobosco_De_Sphaera_Latin_excerpt,c,10
Sacrobosco_De_Sphaera_Latin_excerpt,m,9
Sacrobosco_De_Sphaera_Latin_excerpt,i,8
Sacrobosco_De_Sphaera_Latin_excerpt,d,6
Sacrobosco_De_Sphaera_Latin_excerpt,t,5
Sacrobosco_De_Sphaera_Latin_excerpt,q,5
Sacrobosco_De_Sphaera_Latin_excerpt,f,4
Sacrobosco_De_Sphaera_Latin_excerpt,a,3
Sacrobosco_De_Sphaera_Latin_excerpt,h,2
Sacrobosco_De_Sphaera_Latin_excerpt,u,2
Sacrobosco_De_Sphaera_Latin_excerpt,r,2
Sacrobosco_De_Sphaera_Latin_excerpt,n,1
Sacrobosco_De_Sphaera_Latin_excerpt,p,1
Sacrobosco_De_Sphaera_Latin_excerpt,l,1
