source,prefix_2,count
Sacrobosco_De_Sphaera_Latin_excerpt,ei,1
Sacrobosco_De_Sphaera_Latin_excerpt,ad,1
Sacrobosco_De_Sphaera_Latin_excerpt,lo,1
Sacrobosco_De_Sphaera_Latin_excerpt,un,1
Sacrobosco_De_Sphaera_Latin_excerpt,re,1
Sacrobosco_De_Sphaera_Latin_excerpt,ta,1
Sacrobosco_De_Sphaera_Latin_excerpt,to,1
Sacrobosco_De_Sphaera_Latin_excerpt,im,1
Sacrobosco_De_Sphaera_Latin_excerpt,cu,1
Sacrobosco_De_Sphaera_Latin_excerpt,ul,1
Sacrobosco_De_Sphaera_Latin_excerpt,ex,1
Sacrobosco_De_Sphaera_Latin_excerpt,sc,1
Sacrobosco_De_Sphaera_Latin_excerpt,te,1
Sacrobosco_De_Sphaera_Latin_excerpt,ro,1
