source,prefix_2,count
Harley_MS_2378_Middle_English_recipes_excerpt,an,16
Harley_MS_2378_Middle_English_recipes_excerpt,th,14
Harley_MS_2378_Middle_English_recipes_excerpt,of,9
Harley_MS_2378_Middle_English_recipes_excerpt,ma,7
Harley_MS_2378_Middle_English_recipes_excerpt,fo,6
Harley_MS_2378_Middle_English_recipes_excerpt,ta,4
Harley_MS_2378_Middle_English_recipes_excerpt,he,4
Harley_MS_2378_Middle_English_recipes_excerpt,be,4
Harley_MS_2378_Middle_English_recipes_excerpt,to,4
Harley_MS_2378_Middle_English_recipes_excerpt,bo,3
Harley_MS_2378_Middle_English_recipes_excerpt,ge,3
Harley_MS_2378_Middle_English_recipes_excerpt,fa,3
Harley_MS_2378_Middle_English_recipes_excerpt,te,3
Harley_MS_2378_Middle_English_recipes_excerpt,br,3
Harley_MS_2378_Middle_English_recipes_excerpt,co,3
Harley_MS_2378_Middle_English_recipes_excerpt,we,3
Harley_MS_2378_Middle_English_recipes_excerpt,it,3
Harley_MS_2378_Middle_English_recipes_excerpt,me,2
Harley_MS_2378_Middle_English_recipes_excerpt,al,2
Harley_MS_2378_Middle_English_recipes_excerpt,by,2
Harley_MS_2378_Middle_English_recipes_excerpt,wi,2
Harley_MS_2378_Middle_English_recipes_excerpt,in,2
Harley_MS_2378_Middle_English_recipes_excerpt,wy,2
Harley_MS_2378_Middle_English_recipes_excerpt,or,2
Harley_MS_2378_Middle_English_recipes_excerpt,ho,2
Harley_MS_2378_Middle_English_recipes_excerpt,fr,2
Harley_MS_2378_Middle_English_recipes_excerpt,ij,2
Harley_MS_2378_Middle_English_recipes_excerpt,wa,2
Harley_MS_2378_Middle_English_recipes_excerpt,st,2
Harley_MS_2378_Middle_English_recipes_excerpt,po,2
Harley_MS_2378_Middle_English_recipes_excerpt,se,2
Harley_MS_2378_Middle_English_recipes_excerpt,as,2
Harley_MS_2378_Middle_English_recipes_excerpt,ca,1
Harley_MS_2378_Middle_English_recipes_excerpt,zo,1
Harley_MS_2378_Middle_English_recipes_excerpt,ol,1
Harley_MS_2378_Middle_English_recipes_excerpt,le,1
Harley_MS_2378_Middle_English_recipes_excerpt,lo,1
Harley_MS_2378_Middle_English_recipes_excerpt,re,1
Harley_MS_2378_Middle_English_recipes_excerpt,sm,1
Harley_MS_2378_Middle_English_recipes_excerpt,pl,1
Harley_MS_2378_Middle_English_recipes_excerpt,cl,1
Harley_MS_2378_Middle_English_recipes_excerpt,de,1
Harley_MS_2378_Middle_English_recipes_excerpt,ga,1
Harley_MS_2378_Middle_English_recipes_excerpt,ac,1
Harley_MS_2378_Middle_English_recipes_excerpt,so,1
Harley_MS_2378_Middle_English_recipes_excerpt,ab,1
Harley_MS_2378_Middle_English_recipes_excerpt,ba,1
Harley_MS_2378_Middle_English_recipes_excerpt,wh,1
Harley_MS_2378_Middle_English_recipes_excerpt,bl,1
Harley_MS_2378_Middle_English_recipes_excerpt,ze,1
Harley_MS_2378_Middle_English_recipes_excerpt,fl,1
Harley_MS_2378_Middle_English_recipes_excerpt,ry,1
Harley_MS_2378_Middle_English_recipes_excerpt,sa,1
Harley_MS_2378_Middle_English_recipes_excerpt,ic,1
Harley_MS_2378_Middle_English_recipes_excerpt,da,1
Harley_MS_2378_Middle_English_recipes_excerpt,ii,1
Harley_MS_2378_Middle_English_recipes_excerpt,af,1
Harley_MS_2378_Middle_English_recipes_excerpt,ou,1
Harley_MS_2378_Middle_English_recipes_excerpt,ha,1
Harley_MS_2378_Middle_English_recipes_excerpt,go,1
Harley_MS_2378_Middle_English_recipes_excerpt,qu,1
Harley_MS_2378_Middle_English_recipes_excerpt,la,1
Harley_MS_2378_Middle_English_recipes_excerpt,dr,1
Harley_MS_2378_Middle_English_recipes_excerpt,at,1
Harley_MS_2378_Middle_English_recipes_excerpt,mo,1
Harley_MS_2378_Middle_English_recipes_excerpt,ev,1
Harley_MS_2378_Middle_English_recipes_excerpt,su,1
Liber_de_Coquina_Latin_excerpt,et,12
Liber_de_Coquina_Latin_excerpt,in,11
Liber_de_Coquina_Latin_excerpt,ca,11
Liber_de_Coquina_Latin_excerpt,al,7
Liber_de_Coquina_Latin_excerpt,cu,7
Liber_de_Coquina_Latin_excerpt,de,6
Liber_de_Coquina_Latin_excerpt,qu,6
Liber_de_Coquina_Latin_excerpt,bu,6
Liber_de_Coquina_Latin_excerpt,po,6
Liber_de_Coquina_Latin_excerpt,pr,5
Liber_de_Coquina_Latin_excerpt,fa,5
Liber_de_Coquina_Latin_excerpt,pa,4
Liber_de_Coquina_Latin_excerpt,br,4
Liber_de_Coquina_Latin_excerpt,co,3
Liber_de_Coquina_Latin_excerpt,ci,3
Liber_de_Coquina_Latin_excerpt,si,3
Liber_de_Coquina_Latin_excerpt,fr,3
Liber_de_Coquina_Latin_excerpt,ol,3
Liber_de_Coquina_Latin_excerpt,aq,3
Liber_de_Coquina_Latin_excerpt,ad,3
Liber_de_Coquina_Latin_excerpt,di,2
Liber_de_Coquina_Latin_excerpt,ta,2
Liber_de_Coquina_Latin_excerpt,ui,2
Liber_de_Coquina_Latin_excerpt,be,2
Liber_de_Coquina_Latin_excerpt,tu,2
Liber_de_Coquina_Latin_excerpt,fe,2
Liber_de_Coquina_Latin_excerpt,ac,2
Liber_de_Coquina_Latin_excerpt,sa,2
Liber_de_Coquina_Latin_excerpt,ex,2
Liber_de_Coquina_Latin_excerpt,ua,2
Liber_de_Coquina_Latin_excerpt,li,1
Liber_de_Coquina_Latin_excerpt,ub,1
Liber_de_Coquina_Latin_excerpt,do,1
Liber_de_Coquina_Latin_excerpt,at,1
Liber_de_Coquina_Latin_excerpt,hi,1
Liber_de_Coquina_Latin_excerpt,ge,1
Liber_de_Coquina_Latin_excerpt,he,1
Liber_de_Coquina_Latin_excerpt,mo,1
Liber_de_Coquina_Latin_excerpt,eo,1
Liber_de_Coquina_Latin_excerpt,it,1
Liber_de_Coquina_Latin_excerpt,ni,1
Liber_de_Coquina_Latin_excerpt,re,1
Liber_de_Coquina_Latin_excerpt,du,1
Liber_de_Coquina_Latin_excerpt,su,1
Liber_de_Coquina_Latin_excerpt,ig,1
Liber_de_Coquina_Latin_excerpt,sc,1
Liber_de_Coquina_Latin_excerpt,ap,1
Liber_de_Coquina_Latin_excerpt,ib,1
Liber_de_Coquina_Latin_excerpt,sp,1
Liber_de_Coquina_Latin_excerpt,lo,1
Liber_de_Coquina_Latin_excerpt,se,1
Liber_de_Coquina_Latin_excerpt,us,1
Liber_de_Coquina_Latin_excerpt,im,1
Liber_de_Coquina_Latin_excerpt,ea,1
Liber_de_Coquina_Latin_excerpt,fu,1
Liber_de_Coquina_Latin_excerpt,ho,1
Liber_de_Coquina_Latin_excerpt,to,1
Liber_de_Coquina_Latin_excerpt,el,1
Liber_de_Coquina_Latin_excerpt,ue,1
Liber_de_Coquina_Latin_excerpt,id,1
Liber_de_Coquina_Latin_excerpt,es,1
Liber_de_Coquina_Latin_excerpt,ce,1
Sacrobosco_De_Sphaera_Latin_excerpt,su,8
Sacrobosco_De_Sphaera_Latin_excerpt,es,7
Sacrobosco_De_Sphaera_Latin_excerpt,et,6
Sacrobosco_De_Sphaera_Latin_excerpt,in,5
Sacrobosco_De_Sphaera_Latin_excerpt,co,5
Sacrobosco_De_Sphaera_Latin_excerpt,qu,5
Sacrobosco_De_Sphaera_Latin_excerpt,fi,4
Sacrobosco_De_Sphaera_Latin_excerpt,ma,4
Sacrobosco_De_Sphaera_Latin_excerpt,sp,4
Sacrobosco_De_Sphaera_Latin_excerpt,de,3
Sacrobosco_De_Sphaera_Latin_excerpt,mu,3
Sacrobosco_De_Sphaera_Latin_excerpt,di,3
Sacrobosco_De_Sphaera_Latin_excerpt,tr,2
Sacrobosco_De_Sphaera_Latin_excerpt,ce,2
Sacrobosco_De_Sphaera_Latin_excerpt,mo,2
Sacrobosco_De_Sphaera_Latin_excerpt,ci,2
Sacrobosco_De_Sphaera_Latin_excerpt,ig,2
Sacrobosco_De_Sphaera_Latin_excerpt,si,2
Sacrobosco_De_Sphaera_Latin_excerpt,au,2
Sacrobosco_De_Sphaera_Latin_excerpt,se,2
Sacrobosco_De_Sphaera_Latin_excerpt,er,2
Sacrobosco_De_Sphaera_Latin_excerpt,no,1
Sacrobosco_De_Sphaera_Latin_excerpt,ho,1
Sacrobosco_De_Sphaera_Latin_excerpt,ea,1
Sacrobosco_De_Sphaera_Latin_excerpt,hu,1
Sacrobosco_De_Sphaera_Latin_excerpt,pr,1
