page,line,raw_text,clean_text,avg_conf
168,1,8,8,31.0
169,1,It^:^,It:,103.2
169,2,4»      /rn'yTZi),4 /rnyTZi),115.11764705882354
170,1,4^*,4,107.33333333333333
170,2,Jj^        ^y^',Jj y,197.46666666666667
171,1,1      'i,1 i,179.66666666666666
171,2,(,(,32.0
171,3,Lj^,Lj,85.0
172,1,■'^,,187.66666666666666
172,2,"J t,-","J t,-",155.2
172,3,"/..If -i,-^"" *f^j """"^ f' -»;' .,^ If j./j 't, ^„","/..If -i,- fj  f -; ., If j./j t,",116.33333333333333
174,1,'M',M,106.0
174,2,^',,154.5
175,1,m,m,3.0
176,1,"-T^f*,..;.^-:^","-Tf,..;.-:",112.0
176,2,'^s<..,s..,106.16666666666667
176,3,m¥MssmB,mMssmB,18.0
176,4,^,,255.0
177,1,-il'j,-ilj,41.0
177,2,"'.Vf""^'?:'^",.Vf:,94.18181818181819
177,3,"t*„„s „,<'fcf ,^ ""-• «?^.»i/'","ts ,fcf , - .i/",97.96551724137932
178,1,"""^1 I I'",1 I I,147.5
178,2,"'""•if",if,80.6
179,1,w,w,8.0
179,2,a,a,0.0
181,1,«* r,r,98.0
181,2,f,f,13.0
181,3,mr'^M,mrM,107.0
182,1,^J,J,138.0
182,2,'W,W,34.5
182,3,'    dl'i',dli,122.0
182,4,5,5,24.0
183,1,"X, ,^ie..i '.^^JS","X, ,ie..i .JS",110.41176470588235
184,1,^ ),),179.0
184,2,"^r,; :;.i;""j^:, 7;^.,","r,; :;.i;j:, 7;.,",116.14285714285714
184,3,"' ^^"" (^ «1 ^ i. w^ ,if„u) otr., """"■■♦s '^-'^","( 1  i. w ,ifu) otr., s -",154.24444444444444
184,4,"- K,,. t«tf-^ «^fc, .,H,","- K,,. ttf- fc, .,H,",118.91666666666667
184,5,ri;?.:?.iv,ri;.:.iv,67.3
184,6,^g,g,140.5
186,1,"""    1^^ ""N""""^ V*'"" f'~« ""''^-J ""■'fcsi",1 N V f -J fcsi,120.15384615384616
186,2,T,T,24.0
186,3,"^.r^,=:",".r,:",134.42857142857142
186,4,"'», ,i6;?» s",", ,i6; s",93.16666666666667
187,1,"U    *■./«#, ^(U, 4.t!     ""1^^ ^      .7. J, „ 3 <» «) lf. •!><!","U ./, (U, 4.t 1  .7. J,  3  ) lf.",143.2
